County,Geo_id,Census_pop,N_tweets
Shoshone County,16079,12765,12
Owyhee County,16073,11526,14
Oneida County,16071,4286,3
Power County,16077,7817,8
Payette County,16075,22623,30
Yuba County,06115,72155,157
Ventura County,06111,823318,2935
Yolo County,06113,200849,804
Washington County,01129,17581,30
Sanborn County,46111,2355,5
Macon County,01087,21452,123
Hoonah-Angoon Census Area,02105,2150,1
Sedgwick County,08115,2379,3
Lowndes County,01085,11299,28
Frederick County,51069,78305,223
Miami County,39109,102506,241
Pottawattamie County,19155,93158,297
Meigs County,39105,23770,37
Franklin County,51067,56159,100
Mercer County,39107,40814,109
Fauquier County,51061,65203,261
Marion County,39101,66501,159
Polk County,19153,430640,2311
Medina County,39103,172332,582
Coal County,40029,5925,9
Tulsa County,40143,603403,2542
Bee County,48025,31861,70
Avoyelles Parish,22009,42073,83
Talladega County,01121,82291,406
Calhoun County,17013,5089,4
Acadia Parish,22001,61773,105
Allen Parish,22003,25764,45
Ascension Parish,22005,107215,260
Tallapoosa County,01123,41616,151
Assumption Parish,22007,23421,38
Kern County,06029,839631,2139
Glenn County,06021,28122,72
Choctaw County,40023,15205,34
Humboldt County,06023,134623,379
Imperial County,06025,174528,489
Inyo County,06027,18546,62
Yellow Medicine County,27173,10438,22
Wright County,27171,124700,322
Fairfax city,51600,22565,235
Henderson County,21101,46250,103
Henry County,21103,15416,46
Hickman County,21105,4902,4
Hopkins County,21107,46920,98
Jackson County,21109,13494,13
Humboldt County,32013,16528,25
Eureka County,32011,1987,4
Winchester city,51840,26203,186
Lincoln County,32017,5345,11
Lander County,32015,5775,9
Hickman County,47081,24690,28
Lyon County,32019,51980,63
Tuscola County,26157,55729,80
Franklin County,42055,149618,361
Shiawassee County,26155,70648,200
Fulton County,42057,14845,34
Clay County,12019,190865,505
Fayette County,42051,136606,416
Sanilac County,26151,43114,74
Forest County,42053,7716,10
Charlotte County,12015,159978,338
Citrus County,12017,141236,156
Broward County,12011,1748066,8470
Greene County,42059,38686,95
Van Buren County,26159,76258,187
Mathews County,51115,8978,18
Mecklenburg County,51117,32727,52
Lunenburg County,51111,12914,18
Madison County,51113,13308,32
Aurora County,46003,2710,7
Huerfano County,08055,6711,13
Middlesex County,51119,10959,30
Beadle County,46005,17398,31
Cook County,17031,5194675,29793
Crawford County,17033,19817,30
Bastrop County,48021,74171,262
Cumberland County,17035,11048,22
DeKalb County,17037,105160,585
White County,18181,24643,59
Sharp County,05135,17264,27
Sevier County,05133,17058,49
Sebastian County,05131,125744,374
Audubon County,19009,6119,8
Wakulla County,12129,30776,42
Ashley County,05003,21853,69
Berrien County,26021,156813,593
Arkansas County,05001,19019,31
Cass County,26027,52293,114
Benton County,05007,221339,758
Island County,53029,78506,144
Baxter County,05005,41513,67
Grays Harbor County,53027,72797,187
Taylor County,12123,22570,45
Boone County,05009,36903,61
Union County,12125,15535,16
Volusia County,12127,494593,1740
Rawlins County,20153,2519,7
Clarke County,01025,25833,53
Clay County,01027,13932,25
Chilton County,01021,43643,110
Choctaw County,01023,13859,26
Cleburne County,01029,14972,46
Ashe County,37009,27281,35
Anson County,37007,26948,42
Alleghany County,37005,11155,26
Alexander County,37003,37198,58
Alamance County,37001,151131,452
Panola County,48365,23796,52
Erie County,36029,919040,5220
Westmoreland County,42129,365169,1078
Palo Pinto County,48363,28111,73
Cortland County,36023,49336,245
Wayne County,42127,52822,120
Dutchess County,36027,297488,1343
Delaware County,36025,47980,110
Irion County,48235,1599,9
Kingman County,20095,7858,19
Fluvanna County,51065,25691,47
Fayette County,48149,24554,96
Shelby County,48419,25448,32
Falls County,48145,17866,33
Kiowa County,20097,2553,12
El Paso County,48141,800647,2517
Erath County,48143,37890,255
Randolph County,01111,22913,52
Russell County,01113,52947,140
St. Clair County,01115,83593,249
Shelby County,01117,195085,816
Sumter County,01119,13763,86
Bradford County,12007,28520,47
Comanche County,48093,13974,17
Comal County,48091,108472,494
Cooke County,48097,38437,87
Concho County,48095,4087,848
Chattahoochee County,13053,11267,65
Chatham County,13051,265128,1588
Cherokee County,13057,214346,681
Chattooga County,13055,26015,33
Long County,13183,14464,20
Putnam County,29171,4979,4
Tyrrell County,37177,4407,8
Transylvania County,37175,33090,104
Swain County,37173,13981,86
Surry County,37171,73673,114
Van Buren County,19177,7570,10
Union County,37179,201292,655
Ritchie County,54085,10449,45
Gunnison County,08051,15324,55
Raleigh County,54081,78859,224
Randolph County,54083,29405,64
Jefferson County,08059,534543,1251
Summers County,54089,13927,24
Nuckolls County,31129,4500,4
Nemaha County,31127,7248,24
Nance County,31125,3735,5
Morrill County,31123,5042,8
Merrick County,31121,7845,25
Starke County,18149,23363,27
Moore County,37125,88247,257
St. Joseph County,18141,266931,1402
Scott County,18143,24181,56
Shelby County,18145,44436,132
Spencer County,18147,20952,39
Buchanan County,29021,89201,348
Callaway County,29027,44332,114
Lawrence County,29109,38634,68
Johnson County,29101,52595,255
Knox County,29103,4131,6
Montgomery County,37123,27798,52
Laclede County,29105,35571,64
Lafayette County,29107,33381,55
Sauk County,55111,61976,263
Sawyer County,55113,16557,22
Shawano County,55115,41949,72
Sheboygan County,55117,115507,303
Lubbock County,48303,278831,1567
Taylor County,55119,20689,19
Buffalo County,31019,46102,225
Brown County,46013,36531,116
Loving County,48301,82,2
McCulloch County,48307,8283,12
Lynn County,48305,5915,7
Cumberland County,47035,56053,96
Davidson County,47037,626681,6648
Coffee County,47031,52796,126
Crockett County,47033,14586,30
Tuolumne County,06109,55365,85
Tulare County,06107,442179,998
Trinity County,06105,13786,13
Decatur County,47039,11757,22
Tehama County,06103,63463,101
Sutter County,06101,94737,195
Ziebach County,46137,2801,4
Door County,55029,27785,124
Greene County,51079,18403,32
Dane County,55025,488073,2965
Grayson County,51077,15533,20
Wood County,39173,125488,826
Goochland County,51075,21717,79
Columbia County,55021,56833,118
Gloucester County,51073,36858,78
Crawford County,55023,16644,37
O'Brien County,19141,14398,29
Tillman County,40141,7992,11
Calcasieu Parish,22019,192768,595
Bienville Parish,22013,14353,48
Beauregard Parish,22011,35654,54
Caddo Parish,22017,254969,615
Bossier Parish,22015,116979,360
Walworth County,46129,5438,6
Madera County,06039,150865,330
Lake County,06033,64665,67
Kings County,06031,152982,377
Los Angeles County,06037,9818605,67057
Union County,46127,14399,77
Ashland County,39005,53139,178
Madison County,16065,37536,142
Sherburne County,27141,88499,198
Minidoka County,16067,20069,14
Steele County,27147,36576,97
Stearns County,27145,150642,688
Lincoln County,16063,5208,2
Stevens County,27149,9726,29
Buena Vista city,51530,6650,19
Athens County,39009,64757,1049
Nez Perce County,16069,39265,55
Jessamine County,21113,48586,147
Jefferson County,21111,741096,4031
Kenton County,21117,159720,548
Johnson County,21115,23356,78
Washakie County,56043,8533,8
Uinta County,56041,21118,18
Weston County,56045,7208,4
Esmeralda County,32009,783,5
Douglas County,32005,46997,109
Elko County,32007,48818,132
Churchill County,32001,24877,41
Clark County,32003,1951269,16120
Cambria County,42021,143679,385
Benton County,27009,38451,106
Cameron County,42023,5085,17
Roscommon County,26143,24449,52
Carbon County,42025,65249,236
Brookings County,46011,31965,201
Centre County,42027,153990,1982
Brevard County,12009,543376,1549
Chester County,42029,498886,2078
St. Joseph County,26149,61295,179
Bay County,12005,168852,818
Baker County,12003,27115,46
Alachua County,12001,247336,1638
Loudoun County,51107,312311,1748
Lee County,51105,25587,22
Lancaster County,51103,11391,32
King William County,51101,15935,31
Louisa County,51109,33153,69
Pike County,05109,11291,20
Ouachita County,05103,26120,63
Newton County,05101,8330,25
Phillips County,05107,21757,43
Perry County,05105,10445,11
Twiggs County,13289,9023,29
Turner County,13287,8930,21
Troup County,13285,67044,217
Treutlen County,13283,6885,26
Towns County,13281,10471,68
Marion County,28091,27088,32
Hockley County,48219,22935,50
Dimmit County,48127,9996,49
Klickitat County,53039,20318,25
Sheridan County,31161,5469,9
Crawford County,26039,14074,38
Dallas County,05039,8116,15
Mellette County,46095,2048,3
Cross County,05037,17870,22
Jefferson County,53031,29872,55
Crittenden County,05035,50902,144
Clinton County,26037,75382,306
Crawford County,05033,61948,116
Cheboygan County,26031,26152,76
Craighead County,05031,96443,429
Kittitas County,53037,40915,515
Miner County,46097,2389,2
Hudspeth County,48229,3476,8
Jewell County,20089,3077,8
Houston County,48225,23732,47
Howard County,48227,35012,69
Osage County,29151,13878,22
Hood County,48221,51182,113
Hopkins County,48223,35161,116
Marshall County,46091,4656,5
Elmore County,01051,79303,233
Escambia County,01053,38319,87
Etowah County,01055,104430,320
Fayette County,01057,17241,17
Franklin County,01059,31704,51
Meade County,46093,25434,43
Chenango County,36017,50477,59
Brunswick County,37019,107431,331
Chemung County,36015,88830,283
Chautauqua County,36013,134905,490
Cayuga County,36011,80026,200
Macon County,13193,14740,17
Avery County,37011,17797,108
McIntosh County,13191,14333,31
Beaufort County,37013,47759,98
Marion County,13197,8742,9
Bertie County,37015,21282,33
Clinton County,36019,82128,258
Bladen County,37017,35190,74
McMullen County,48311,707,7
Madison County,48313,13664,42
Marion County,48315,10546,16
Martin County,48317,4799,17
Mason County,48319,4012,8
Ellis County,48139,149610,584
Stephens County,48429,9630,13
Smith County,48423,209714,826
Eastland County,48133,18583,42
Starr County,48427,60968,132
Somervell County,48425,8490,34
Cobb County,13067,688078,3399
Liberty County,13179,63453,173
Clinch County,13065,6798,22
Clayton County,13063,259424,2618
Buffalo County,55011,13587,11
Clay County,13061,3183,5
Coffee County,13069,42356,83
Taliaferro County,13265,1717,7
Tattnall County,13267,25520,34
Sumter County,13261,32819,81
Talbot County,13263,6865,8
York County,45091,226073,907
Williamsburg County,45089,34423,66
McCurtain County,40089,33151,81
Brooks County,48047,7223,30
Hill County,48217,35089,125
Brazos County,48041,194851,2067
Brewster County,48043,9232,44
Lincoln County,40081,34273,89
Schoolcraft County,26153,8485,27
Logan County,40083,41848,160
Brown County,48049,38106,94
McClain County,40087,34506,115
Graham County,20065,2597,8
Rutherford County,37161,67810,138
Grant County,20067,7829,18
Sampson County,37163,63431,120
Geary County,20061,34362,114
Scotland County,37165,36157,99
Gove County,20063,2695,8
Stanly County,37167,60585,137
Stokes County,37169,47401,72
Gray County,20069,6006,16
Larimer County,08069,299630,1149
La Plata County,08067,51334,159
Lake County,08065,7310,17
Saluda County,45081,19875,31
Kit Carson County,08063,8270,18
Kiowa County,08061,1398,6
Madison County,31119,34876,124
Logan County,31113,763,2
Lincoln County,31111,36288,84
McPherson County,31117,539,1
Loup County,31115,632,2
Hemphill County,48211,3807,15
Montrose County,08085,41276,26
Morgan County,08087,28159,55
Tipton County,18159,15936,27
Moffat County,08081,13795,7
Calhoun County,12013,14625,13
Montezuma County,08083,25535,25
Sullivan County,18153,21475,34
Steuben County,18151,34185,131
Otero County,08089,18831,34
Tippecanoe County,18157,172780,964
Switzerland County,18155,10613,27
Winneshiek County,19191,21056,56
Bon Homme County,46009,7070,11
McDonald County,29119,23083,30
Lincoln County,29113,52566,85
Lewis County,29111,10211,40
Livingston County,29117,15195,21
Linn County,29115,12761,22
Caroline County,51033,28545,88
Dodge County,27039,20087,39
York County,42133,434972,1192
Jefferson County,19101,16843,34
Mingo County,54059,26839,65
Charles City County,51036,7256,8
Charlotte County,51037,12586,11
Richland County,55103,18021,21
Cherokee County,40021,46987,139
Racine County,55101,195408,667
Rusk County,55107,14755,16
Rock County,55105,160331,369
Bennett County,46007,3431,7
St. Croix County,55109,84345,192
Cottonwood County,27033,11687,27
Murray County,40099,13488,45
Clay County,47027,7861,8
Claiborne County,47025,32213,66
Chester County,47023,17131,41
Cheatham County,47021,39105,85
Cocke County,47029,35662,71
Scotland County,29199,4843,5
Union County,05139,41639,140
Wapello County,19179,35625,58
Wayne County,39169,114520,314
Fond du Lac County,55039,101633,236
Clarke County,51043,14034,42
Vinton County,39163,13435,28
Chesterfield County,51041,316236,1064
Eau Claire County,55035,98736,452
Culpeper County,51047,46689,111
Washington County,39167,61778,209
Craig County,51045,5190,13
Warren County,39165,212693,1004
Claiborne Parish,22027,17195,36
Catahoula Parish,22025,10407,20
Jackson County,08057,1394,3
Cameron Parish,22023,6839,34
Caldwell Parish,22021,10132,14
Concordia Parish,22029,20822,51
Butte County,06007,220000,731
Amador County,06005,38091,58
Hamilton County,20075,2690,8
Alpine County,06003,1175,3
Alameda County,06001,1510271,7202
Calaveras County,06009,45578,67
Franklin city,51620,8582,22
Aleutians West Census Area,02016,5561,150
Bingham County,16011,45607,54
Butler County,39017,368130,1390
Blaine County,16013,21376,35
Brown County,39015,44846,75
Boise County,16015,7028,9
Belmont County,39013,70400,237
Bonner County,16017,40877,46
Auglaize County,39011,45949,123
Bonneville County,16019,104234,151
Traverse County,27155,3558,7
Wabasha County,27157,21676,52
Swift County,27151,9783,19
Carroll County,39019,28836,52
Washington Parish,22117,47168,80
Lee County,21129,7887,5
Lawrence County,21127,15860,48
Laurel County,21125,58849,170
Plymouth County,19149,24986,84
Larue County,21123,14193,33
Hancock County,19081,11341,24
Knox County,21121,31883,107
Siskiyou County,06093,44900,77
Henry County,19087,20145,31
Nelson County,21179,43437,117
Hanson County,46061,3331,9
Clearfield County,42033,81642,126
Gadsden County,12039,46389,66
Clarion County,42031,39988,157
Hughes County,46065,17022,25
Belknap County,33001,60088,214
Hutchinson County,46067,7343,9
Clinton County,42035,39238,657
Escambia County,12033,297619,1258
Duval County,12031,864263,3666
Crawford County,42039,88765,225
Franklin County,12037,11549,40
Alfalfa County,40003,5642,6
Flagler County,12035,95696,216
Northumberland County,51133,12330,13
Northampton County,51131,12389,53
Orange County,51137,33481,65
Nottoway County,51135,15853,35
Appling County,13001,18236,36
Page County,51139,24042,79
Howard County,19089,9566,18
Atkinson County,13003,8375,8
Palo Alto County,19147,9421,17
Ware County,13299,36312,89
Jerome County,16053,22374,18
Union County,13291,21356,48
Schley County,13249,5010,7
Upson County,13293,27153,46
Walker County,13295,68756,158
Walton County,13297,83768,180
Putnam County,12107,74364,95
Wrangell City and Borough,02275,2369,1
Polk County,12105,602095,1703
Pinellas County,12103,916542,3381
Pasco County,12101,464697,984
St. Johns County,12109,190039,842
Genesee County,26049,425790,1331
Conway County,05029,21273,52
Delta County,26041,37069,88
Clay County,05021,16083,32
Dickinson County,26043,26168,47
Cleburne County,05023,25970,42
Eaton County,26045,107759,407
Cleveland County,05025,8689,12
Emmet County,26047,32694,96
Columbia County,05027,24552,91
Labette County,20099,21607,63
Jackson County,48239,14075,38
Johnson County,20091,544179,2247
Kearny County,20093,3977,5
Hutchinson County,48233,22150,37
Hunt County,48231,86129,276
Lowndes County,13185,109233,587
Lumpkin County,13187,29966,135
Lincoln County,13181,7996,24
Dale County,01045,50251,105
DeKalb County,01049,71109,156
McDuffie County,13189,21875,65
Albany County,36001,304204,1659
Allegany County,36003,48946,129
Bronx County,36005,1385108,3472
Broome County,36007,200600,771
Cattaraugus County,36009,80317,383
Pope County,05115,61754,218
Prairie County,05117,8715,15
Poinsett County,05111,24583,43
Polk County,05113,20662,25
McLennan County,48309,234906,1212
Pulaski County,05119,382748,1924
Sutton County,48435,4128,12
Swisher County,48437,7854,13
Calhoun County,26025,136146,463
Stonewall County,48433,1490,2
Tarrant County,48439,1809034,10035
Suwannee County,12121,41551,62
Donley County,48129,3677,16
DeWitt County,48123,20097,58
Denton County,48121,662614,3156
Charlevoix County,26029,25949,68
Dickens County,48125,2444,1
Colquitt County,13071,45498,106
Columbia County,13073,124053,334
Cook County,13075,17212,39
Coweta County,13077,127317,370
Mineral County,30061,4223,4
Crawford County,13079,12630,22
Tift County,13277,40118,124
Thomas County,13275,44720,106
Terrell County,13273,9315,17
Telfair County,13271,16500,13
Union County,45087,28961,68
Sumter County,45085,107456,261
Spartanburg County,45083,284307,1079
Toombs County,13279,27223,92
Marshall County,18099,47051,144
Lawrence County,18093,46134,94
LaPorte County,18091,111467,286
Marion County,18097,903393,5509
Madison County,18095,131636,422
Calhoun County,48057,21381,50
Caldwell County,48055,38066,122
Burnet County,48053,42750,115
Burleson County,48051,17187,35
Major County,40093,7527,14
McIntosh County,40091,20252,53
Mayes County,40097,41259,116
Marshall County,40095,15840,27
Harper County,20077,6034,11
Benton County,18007,8854,15
Yancey County,37199,17818,28
Greenwood County,20073,6689,13
Wilson County,37195,81234,254
Yadkin County,37197,38406,75
Wayne County,37191,122623,335
Wilkes County,37193,69340,104
Harvey County,20079,34684,104
Mineral County,08079,712,1
Parmer County,48369,10269,13
Las Animas County,08071,15507,22
Lincoln County,08073,5467,7
Logan County,08075,22709,32
Mesa County,08077,146723,342
Vigo County,18167,107848,530
Wilson County,20205,9409,10
Vermillion County,18165,16212,31
Vanderburgh County,18163,179703,842
Union County,18161,7516,17
Woodson County,20207,3309,6
Wabash County,18169,32888,118
Pitkin County,08097,17148,98
Phillips County,08095,4442,4
Park County,08093,16206,217
Ouray County,08091,4436,15
Washington County,20201,5799,12
Prowers County,08099,12551,29
Marion County,29127,28781,53
Runnels County,48399,10501,15
Maries County,29125,9176,8
Cherokee County,19035,12072,38
Madison County,29123,12226,12
Wichita County,20203,2234,5
Macon County,29121,15566,41
Edwards County,17047,6721,11
Mercer County,29129,3785,4
Camas County,16025,1117,1
San Saba County,48411,6131,14
Canyon County,16027,188923,331
Santa Fe County,35049,144170,384
San Juan County,35045,130044,238
San Miguel County,35047,29393,67
Roosevelt County,35041,19846,64
Sandoval County,35043,131561,321
Refugio County,48391,7383,41
Nemaha County,20131,10178,18
Winnebago County,55139,166994,534
Waushara County,55137,24496,21
Robertson County,48395,16622,39
Waupaca County,55135,52410,67
Waukesha County,55133,389891,1256
Washington County,55131,131887,260
Hale County,01065,15760,33
Kimball County,31105,3821,6
Knox County,31107,8701,8
Keith County,31101,8368,27
Keya Paha County,31103,824,3
Lancaster County,31109,285407,1284
Jones County,37103,10153,19
Campbell County,47013,40716,82
Bradley County,47011,98963,336
Carroll County,47017,28522,71
Cannon County,47015,13801,395
Atchison County,29005,5685,18
Carter County,47019,57424,109
Tuscarawas County,39157,92582,269
Shelby County,19165,12167,35
Trumbull County,39155,210312,641
Sioux County,19167,33704,88
Summit County,39153,541781,2395
Dickenson County,51051,15903,11
Stark County,39151,375586,1325
Scott County,19163,165224,642
Brown County,27015,25893,93
Carlton County,27017,35386,77
Big Stone County,27011,5269,14
Story County,19169,89542,1140
Blue Earth County,27013,64013,461
Clark County,53011,425363,1141
Brown County,55009,248007,959
Gilchrist County,12041,16939,22
Ashland County,55003,16157,31
Jasper County,28061,17062,26
Adams County,55001,20875,35
Christian County,29043,77422,149
Bayfield County,55007,15014,35
Barron County,55005,45870,65
De Soto Parish,22031,26656,56
East Baton Rouge Parish,22033,440171,2383
East Carroll Parish,22035,7759,5
East Feliciana Parish,22037,20267,35
Evangeline Parish,22039,33984,62
Colusa County,06011,21419,67
Contra Costa County,06013,1049025,2838
Del Norte County,06015,28610,45
El Dorado County,06017,181058,483
Fresno County,06019,930450,6059
Ringgold County,19159,5131,6
Fredericksburg city,51630,24286,234
Clark County,39023,138333,361
Adams County,16003,3976,1
Champaign County,39021,40097,88
Parker County,48367,116927,278
Clinton County,39027,42040,160
Bear Lake County,16007,5986,10
Clermont County,39025,197363,537
Bannock County,16005,82839,168
Pope County,27121,10995,25
Columbiana County,39029,107841,292
Benewah County,16009,9285,3
Red Lake County,27125,4089,6
Redwood County,27127,16059,39
Orange County,48361,81837,153
Livingston County,21139,9519,19
Leslie County,21131,11310,14
Branch County,26023,45248,115
Shannon County,46113,13586,38
Lincoln County,21137,24742,31
DeSoto County,12027,34862,37
Collier County,12021,321520,968
Washington County,42125,207820,776
Spink County,46115,6415,15
Williamsburg city,51830,14068,211
Dixie County,12029,16422,13
Jerauld County,46073,2071,7
Columbia County,36021,63096,176
Stanley County,46117,2966,21
Bedford County,42009,49762,132
Kittson County,27069,4552,14
Santa Clara County,06085,1781642,8843
Armstrong County,42005,68941,113
Lake County,46079,11200,40
Allegheny County,42003,1223348,7633
Adams County,42001,101407,330
Venango County,42121,54984,84
Nelson County,51125,15020,79
Warren County,42123,41815,58
Montgomery County,51121,94392,886
Bell County,48027,310235,865
Gregory County,46053,4271,9
Calhoun County,45017,15175,595
Harrison County,19085,14928,39
Bowman County,38011,3151,9
Baylor County,48023,3726,6
St. Lucie County,12111,277789,535
Santa Rosa County,12113,151372,331
Santa Barbara County,06083,423895,2092
Sarasota County,12115,379448,1089
Seminole County,12117,422718,1476
Sumter County,12119,93420,125
Hughes County,40063,14003,25
Hillsdale County,26059,46688,124
Williamson County,17199,66357,186
Will County,17197,677560,2099
Gogebic County,26053,16427,33
Whiteside County,17195,58498,110
Gladwin County,26051,25692,34
White County,17193,14665,30
Gratiot County,26057,42476,98
Wayne County,17191,16760,15
Grand Traverse County,26055,86986,353
Hays County,48209,157107,1645
Harrison County,48203,65631,156
Summit County,08117,27994,263
Harris County,48201,4092459,18801
Haskell County,48207,5899,12
Hartley County,48205,6062,11
Stark County,17175,5994,10
Stephenson County,17177,47711,93
Poweshiek County,19157,18914,65
Scott County,17171,5355,12
Jackson County,40065,26446,43
Shelby County,17173,22363,40
Lauderdale County,01077,92709,447
Lamar County,01075,14564,22
Henry County,01067,17302,30
Tazewell County,17179,135394,316
Jackson County,01071,53227,119
Patrick County,51141,18490,21
Montgomery County,48339,455746,1627
Montague County,48337,19719,55
Mitchell County,48335,9403,15
Mills County,48333,4936,13
Milam County,48331,24757,62
Taylor County,48441,131506,503
Dawson County,48115,13833,23
Dallas County,48113,2368139,15175
Dallam County,48111,6703,11
Titus County,48449,32334,98
Woods County,40151,8878,43
Delta County,48119,5231,15
Pocahontas County,19151,7310,22
Shackelford County,48417,3378,9
Fannin County,48147,33915,49
DeKalb County,13089,691893,3344
Dawson County,13085,22330,137
Decatur County,13087,27842,68
Crisp County,13081,23439,61
Dade County,13083,16633,57
St. Clair County,26147,163040,487
Tompkins County,36109,101564,607
Rabun County,13241,16276,60
Rockdale County,13247,85215,289
Richmond County,13245,200549,895
